"Day" "Rcum" "f0-9" "f10-19" "f20-29" "f30-39" "f40-49" "f50-59" "f60-69" "f70-79" "f80+" "m0-9" "m10-19" "m20-29" "m30-39" "m40-49" "m50-59" "m60-69" "m70-79" "m80+"
201219 1404567 36990.90682 77218.28512 116125.71722 106659.51972 120406.61972 108297.28472 52634.88722 47449.05722 64613.72222 40044.40651 79690.29421 117733.06811 102158.26361 110087.83561 99018.79861 50639.66411 45652.05811 29146.61111
201220 1413285 37168.02687 77622.97047 116755.49467 107328.29867 121240.73017 109047.47917 53039.01067 47813.32267 65180.16667 40262.52856 80083.94356 118300.77756 102718.52856 110754.31206 99618.24306 50993.81756 45971.29356 29386.05556
201221 1424372 37403.98309 78155.78919 117584.37789 108175.49739 122272.35939 109975.32639 53536.25089 48261.52689 65956.88889 40536.26509 80599.59819 119044.55989 103438.68039 111599.65339 100378.57639 51406.48289 46343.29489 29702.88889
201222 1436966 37701.10844 78735.01394 118455.91144 109115.28794 123455.15044 111039.19444 54122.42944 48789.95944 67035.44444 40829.72333 81133.81783 119836.08233 104206.34983 112501.94333 101190.08333 51902.65633 46790.51033 30125.33333
201223 1450283 38032.73458 79374.81398 119433.76378 110106.65478 124655.98428 112119.21528 54734.97478 49342.08078 68075.77778 41150.24049 81723.68729 120672.18889 105029.52689 113479.73839 102069.45139 52449.72589 47283.55189 30548.88889
201224 1450347 38033.73458 79375.86598 119435.86778 110109.57878 124660.15428 112122.96528 54737.60478 49344.45078 68080.77778 41151.24049 81725.79129 120676.39689 105033.50289 113484.32539 102073.57639 52456.56389 47289.71389 30554.88889
201225 1450391 38034.73458 79378.23298 119440.60178 110112.72578 124662.65628 112125.21528 54740.76078 49347.29478 68087.77778 41152.79609 81726.76169 120677.44889 105034.54889 113485.57639 102074.70139 52459.19389 47292.08389 30557.88889
201226 1450429 38036.73458 79379.02198 119442.17978 110114.39878 124664.74128 112127.09028 54742.60178 49348.95378 68094.77778 41153.79609 81727.02469 120677.97489 105035.59189 113487.24439 102076.20139 52464.19089 47296.58689 30559.88889
201227 1450472 38038.73458 79379.81098 119443.75778 110116.17578 124667.03478 112129.15278 54744.70578 49350.84978 68103.77778 41154.35169 81727.73209 120678.50089 105037.98689 113491.62289 102080.13889 52466.29489 47298.48289 30562.88889
201228 1450498 38039.73458 79379.81098 119443.75778 110115.75978 124666.20078 112128.40278 54746.80978 49352.74578 68111.77778 41155.35169 81727.99509 120679.02689 105038.82189 113492.87389 102081.26389 52469.45089 47301.32689 30566.88889
201229 1450535 38039.73458 79381.12598 119446.38778 110117.43878 124667.45178 112129.52778 54748.91378 49354.64178 68119.77778 41155.35169 81728.25809 120679.55289 105040.07289 113494.95889 102083.13889 52474.18489 47305.59289 30568.88889
201230 1450551 38039.73458 79381.52048 119447.17678 110118.17128 124668.28578 112130.27778 54750.49178 49356.06378 68121.77778 41155.35169 81728.12659 120679.28989 105040.17539 113495.37589 102083.51389 52476.28889 47307.48889 30571.88889
201231 1450547 38039.73458 79381.25748 119446.65078 110117.33628 124667.03478 112129.15278 54750.49178 49356.06378 68121.77778 41155.35169 81728.12659 120679.28989 105040.17539 113495.37589 102083.51389 52476.28889 47307.48889 30571.88889
210101 1450545 38039.73458 79381.25748 119446.65078 110117.33628 124667.03478 112129.15278 54750.49178 49356.06378 68120.77778 41155.35169 81728.12659 120679.28989 105039.96739 113494.95889 102083.13889 52476.28889 47307.48889 30571.88889
210102 1450539 38039.17898 79380.28708 119445.59878 110116.70628 124666.61778 112128.77778 54749.96578 49355.58978 68120.77778 41155.35169 81727.86359 120678.76389 105039.75639 113494.95889 102083.13889 52476.28889 47307.48889 30571.88889
210103 1450537 38039.17898 79380.02408 119445.07278 110116.49528 124666.61778 112128.77778 54749.96578 49355.58978 68120.77778 41155.35169 81727.60059 120678.23789 105039.54539 113494.95889 102083.13889 52476.28889 47307.48889 30571.88889
210104 1450536 38039.17898 79380.02408 119445.07278 110116.49528 124666.61778 112128.77778 54749.96578 49355.58978 68119.77778 41155.35169 81727.60059 120678.23789 105039.54539 113494.95889 102083.13889 52476.28889 47307.48889 30571.88889
210105 1450532 38039.17898 79380.02408 119445.07278 110116.28728 124666.20078 112128.40278 54749.96578 49355.58978 68118.77778 41155.35169 81727.60059 120678.23789 105039.54539 113494.95889 102083.13889 52475.76289 47307.01489 30570.88889
210106 1450532 38039.17898 79380.02408 119445.07278 110116.28728 124666.20078 112128.40278 54749.96578 49355.58978 68118.77778 41155.35169 81727.60059 120678.23789 105039.54539 113494.95889 102083.13889 52475.76289 47307.01489 30570.88889
